round,word,trans,opt0,opt1,opt2,opt3,correct
1,Consequence,Консиквэнс,Причина,Последствие,Начало,Случай,1
1,Inevitable,Иневитэбл,Неизбежный,Редкий,Сложный,Быстрый,0
1,Evaluate,Ивэльюэйт,Прятать,Разрушать,Оценивать,Менять,2
1,Substantial,Сабстэншл,Тонкий,Существенный,Маленький,Гордый,1
1,Advocate,Эдвокэйт,Сторонник,Враг,Зритель,Слуга,0
1,Ambiguous,Амбигьюэс,Ясный,Смешной,Двусмысленный,Далекий,2
1,Reliable,Рилайэбл,Слабый,Громкий,Быстрый,Надежный,3
1,Sufficient,Сафишнт,Достаточный,Бедный,Краткий,Лишний,0
1,Negotiate,Нигоушиэйт,Бежать,Вести переговоры,Кричать,Спать,1
1,Vague,Вэйг,Острый,Громкий,Неясный,Тяжелый,2
1,Acquire,Эквайэр,Терять,Приобретать,Продавать,Прятать,1
1,Counterpart,Каунтерпарт,Враг,Друг,Лидер,Коллега/Двойник,3
1,Beneath,Бинис,Сверху,Рядом,Под/Внизу,Внутри,2
1,Accurate,Экьюрэт,Точный,Длинный,Старый,Глупый,0
1,Resilience,Резилиенс,Трусость,Стойкость,Скорость,Легкость,1
2,Accomplish,Экомплиш,Начинать,Завершать/Достигать,Терять,Мешать,1
2,Relevant,Релевант,Скрытый,Старый,Уместный/Значимый,Громкий,2
2,Persuade,Пёрсвейд,Убеждать,Спорить,Просить,Пугать,0
2,Incentive,Инсентив,Наказание,Преграда,Стимул,Ошибка,2
2,Determine,Дитермин,Сомневаться,Определять,Забывать,Ждать,1
2,Abundant,Эбандант,Редкий,Бедный,Скучный,Обильный,3
2,Consistent,Консистент,Случайный,Последовательный,Быстрый,Тихий,1
2,Elaborate,Илабрэйт,Простой,Малый,Детальный,Грубый,2
2,Sustain,Састейн,Поддерживать,Разрушать,Бросать,Менять,0
2,Occur,Окёр,Уходить,Прятать,Искать,Происходить,3
2,Brief,Бриф,Долгий,Краткий,Ясный,Мощный,1
2,Enhance,Инханс,Уменьшать,Улучшать,Ломать,Чистить,1
2,Compelling,Компелинг,Скучный,Убедительный,Слабый,Гордый,1
2,Distinction,Дистинкшн,Сходство,Отличие,Группа,Место,1
2,Abrupt,Эбрапт,Плавный,Долгий,Внезапный,Тихий,2
3,Anticipate,Антисипейт,Забывать,Предвидеть,Опаздывать,Рисовать,1
3,Bewilder,Бивилдер,Помогать,Радовать,Сбивать с толку,Учить,2
3,Coherent,Коухирэнт,Связный/Ясный,Громкий,Ломаный,Скрытый,0
3,Comprehensive,Комприхенсив,Малый,Краткий,Всесторонний,Глупый,2
3,Depict,Дипикт,Прятать,Изображать,Ломать,Слушать,1
3,Diverse,Дайверс,Одинаковый,Скучный,Тесный,Разнообразный,3
3,Emphasis,Эмфасис,Пустота,Слабость,Акцент/Упор,Тень,2
3,Exaggerate,Игзэджерейт,Преувеличивать,Молчать,Уменьшать,Верить,0
3,Feasible,Физибл,Невозможный,Дорогой,Осуществимый,Далекий,2
3,Genuine,Дженьюин,Ложный,Дешевый,Старый,Подлинный,3
3,Hierarchy,Хайерарки,Хаос,Иерархия,Свобода,План,1
3,Implement,Имплимэнт,Обещать,Внедрять,Мешать,Удалять,1
3,Inevitable,Иневитэбл,Случайный,Неизбежный,Редкий,Модный,1
3,Insight,Инсайт,Слепота,Ошибка,Озарение/Суть,Крик,2
3,Justify,Джастифай,Винить,Прятать,Оправдывать,Просить,2
4,Liability,Лайэбилити,Способность,Ответственность,Удача,Честность,1
4,Maintain,Мэйнтейн,Разрушать,Терять,Поддерживать,Брать,2
4,Objective,Обджектв,Субъективный,Цель/Объективный,Мнение,План,1
4,Particular,Партикьюлар,Общий,Скрытый,Быстрый,Конкретный,3
4,Precise,Присайс,Грубый,Точный,Длинный,Громкий,1
4,Prosperity,Проспэрити,Бедность,Процветание,Опасность,Скука,1
4,Reluctant,Рилактант,Смелый,Быстрый,Неохотный,Вежливый,2
4,Scarcity,Скэрсити,Дефицит,Изобилие,Богатство,Скорость,0
4,Significant,Сигнификэнт,Мелкий,Старый,Глупый,Значимый,3
4,Thrive,Фрайв,Увядать,Процветать,Спать,Падать,1
4,Undergo,Андергоу,Избегать,Начинать,Подвергаться,Вести,2
4,Versatile,Вёрсатайл,Хрупкий,Скучный,Многогранный,Старый,2
4,Widespread,Вайдспрэд,Узкий,Редкий,Широко распространенный,Скрытый,2
4,Yield,Йилд,Сопротивляться,Уступать/Приносить доход,Искать,Прыгать,1
4,Adequate,Эдикуэт,Адекватный/Достаточный,Плохой,Малый,Дорогой,0
5,Environment,Инвайронмэнт,Правительство,Окружающая среда,Соседство,Искусство,1
5,Opportunity,Опортьюнити,Проблема,Опасность,Возможность,Решение,2
5,Challenge,Чэллендж,Вызов/Сложность,Победа,Спокойствие,Отказ,0
5,Contribute,Контрибьют,Забирать,Мешать,Разрушать,Вносить вклад,3
5,Slightly,Слайтли,Сильно,Слегка,Громко,Постоянно,1
5,Evaluate,Ивэльюэйт,Игнорировать,Оценивать,Хвалить,Рисовать,1
5,Essential,Исэншл,Лишний,Красивый,Существенный/Важный,Дорогой,2
5,Approach,Эпроуч,Уход,Прыжок,Отказ,Подход,3
5,Confidence,Конфидэнс,Страх,Уверенность,Гордость,Печаль,1
5,Indeed,Индид,Возможно,Никогда,В самом деле,Редко,2
5,Doubt,Даут,Вера,Надежда,Сомнение,Знание,2
5,Immediate,Имидиэт,Долгий,Немедленный,Редкий,Старый,1
5,Occur,Окёр,Скрывать,Покупать,Происходить,Менять,2
5,Sufficient,Сафишнт,Достаточный,Бедный,Краткий,Малый,0
5,Valuable,Вэльюэбл,Дешевый,Ценный,Сложный,Скучный,1
7,Neighbor,Нэйбор,Родственник,Враг,Сосед,Друг,2
7,Inevitable,Иневитэбл,Неизбежный,Случайный,Приятный,Мелкий,0
7,Describe,Дискайб,Писать,Описывать,Читать,Слушать,1
7,Sustainable,Састэйнэбл,Слабый,Громкий,Быстрый,Устойчивый,3
7,Furniture,Фёрничэ,Одежда,Еда,Мебель,Посуда,2
7,Persuade,Пёрсвейд,Спорить,Убеждать,Просить,Звать,1
7,Journey,Джёрни,Работа,Сон,Праздник,Путешествие,3
7,Sufficient,Сафишнт,Достаточный,Бедный,Малый,Скучный,0
7,Believe,Билив,Знать,Верить,Думать,Видеть,1
7,Acquire,Эквайэр,Терять,Продавать,Приобретать,Искать,2
7,Careful,Кэафул,Смелый,Быстрый,Сильный,Осторожный,3
7,Significant,Сигнификэнт,Мелкий,Значимый,Прошлый,Тихий,1
7,Healthy,Хэлси,Здоровый,Грязный,Умный,Богатый,0
7,Incentive,Инсентив,Наказание,Преграда,Стимул,Ошибка,2
7,Receive,Рисив,Давать,Получать,Брать,Нести,1
8,Improve,Импрув,Ломать,Улучшать,Ждать,Тратить,1
8,Ambiguous,Амбигьюэс,Ясный,Смешной,Двусмысленный,Далекий,2
8,Suddenly,Садэнли,Медленно,Часто,Внезапно,Всегда,2
8,Vulnerable,Валнэрабл,Сильный,Уязвимый,Богатый,Быстрый,1
8,Experience,Икспириэнс,Опыт,Работа,Знание,Мысль,0
8,Reluctant,Рилактант,Смелый,Быстрый,Неохотный,Вежливый,2
8,Famous,Фэймэс,Тихий,Скромный,Скучный,Известный,3
8,Maintain,Мэйнтейн,Разрушать,Терять,Поддерживать,Брать,2
8,Kitchen,Китчен,Комната,Кухня,Ванная,Сад,1
8,Sufficient,Сафишнт,Достаточный,Бедный,Малый,Скучный,0
8,Decide,Дисайд,Решать,Думать,Мечтать,Искать,0
8,Versatile,Вёрсатайл,Хрупкий,Скучный,Многогранный,Старый,2
8,Available,Эвэйлэбл,Дорогой,Занятый,Доступный,Новый,2
8,Consequence,Консиквэнс,Причина,Последствие,Начало,Повод,1
8,Useful,Юсфул,Вредный,Полезный,Легкий,Красивый,1
9,Holiday,Холидэй,Работа,Праздник/Отпуск,Сон,Утро,1
9,Elaborate,Илабрэйт,Простой,Малый,Детальный,Грубый,2
9,Agree,Эгри,Спорить,Соглашаться,Думать,Звать,1
9,Inevitable,Иневитэбл,Неизбежный,Случайный,Приятный,Скрытый,0
9,Cheap,Чип,Дорогой,Дешевый,Старый,Вкусный,1
9,Substantial,Сабстэншл,Тонкий,Существенный,Маленький,Гордый,1
9,Dangerous,Дэнджэрэс,Опасный,Безопасный,Умный,Быстрый,0
9,Negotiate,Нигоушиэйт,Бежать,Вести переговоры,Кричать,Спать,1
9,Island,Айлэнд,Гора,Река,Остров,Лес,2
9,Consistent,Консистент,Случайный,Последовательный,Быстрый,Тихий,1
9,Healthy,Хэлси,Здоровый,Больной,Грязный,Старый,0
9,Resilience,Резилиенс,Трусость,Стойкость,Скорость,Легкость,1
9,Message,Мэсидж,Письмо,Голос,Сообщение,Книга,2
9,Clarify,Клэрифай,Путать,Скрывать,Прояснять,Молчать,2
9,Between,Битвин,Рядом,Внутри,Сзади,Между,3
10,Accurate,Экьюрэт,Сложный,Старый,Точный,Длинный,2
10,Bottle,Ботл,Чашка,Бутылка,Ложка,Тарелка,1
10,Distinction,Дистинкшн,Сходство,Отличие,Группа,Место,1
10,Beautiful,Бьютифул,Красивый,Ужасный,Большой,Маленький,0
10,Determine,Дитермин,Сомневаться,Определять,Забывать,Ждать,1
10,Weather,Вэзер,Время,Место,Погода,Небо,2
10,Abundant,Эбандант,Редкий,Бедный,Скучный,Обильный,3
10,Question,Квэсчен,Ответ,Вопрос,Мысль,Слово,1
10,Compelling,Компелинг,Скучный,Убедительный,Слабый,Гордый,1
10,Travel,Трэвэл,Путешествовать,Сидеть,Работать,Спать,0
10,Significant,Сигнификэнт,Мелкий,Значимый,Прошлый,Тихий,1
10,Mountain,Маунтэн,Река,Море,Гора,Поле,2
10,Insight,Инсайт,Слепота,Ошибка,Озарение/Суть,Крик,2
10,Everything,Эврифинг,Ничего,Кое-что,Всё,Всегда,2
10,Justify,Джастифай,Винить,Прятать,Оправдывать,Просить,2
11,Necessary,Несэсэри,Лишний,Необходимый,Красивый,Простой,1
11,Diminish,Диминиш,Расти,Чистить,Уменьшать,Прятать,2
11,Language,Лэнгвидж,Язык,Книга,Голос,Слово,0
11,Alleviate,Аливиэйт,Усилить,Облегчать,Считать,Ломать,1
11,Believe,Билив,Знать,Думать,Видеть,Верить,3
11,Inherent,Инхирэнт,Присущий/Врожденный,Чужой,Новый,Быстрый,0
11,Together,Тугезэр,Отдельно,Скоро,Вместе,Вчера,2
11,Constraint,Констрэйнт,Свобода,Ограничение,Радость,Выбор,1
11,Simple,Симпл,Простой,Сложный,Старый,Громкий,0
11,Advantage,Эдвантидж,Вред,План,Преимущество,Ошибка,2
11,Healthy,Хэлси,Здоровый,Грязный,Больной,Слабый,0
11,Equivalent,Иквивэлэнт,Разный,Эквивалентный,Малый,Плохой,1
11,Kitchen,Китчен,Сад,Комната,Кухня,Окно,2
11,Regardless,Ригардлэс,Внимательно,Несмотря на,Редко,Быстро,1
11,Always,Олвэйс,Никогда,Иногда,Часто,Всегда,3
12,Establish,Истэблиш,Разрушать,Устанавливать,Терять,Прятать,1
12,Success,Саксэс,Провал,Успех,Удача,Работа,1
12,Occurrence,Окёрэнс,Событие/Случай,Мысль,Место,Вещь,0
12,Dangerous,Дэнджэрэс,Безопасный,Тихий,Умный,Опасный,3
12,Advocate,Эдвокэйт,Враг,Выступать за/Защищать,Молчать,Судить,1
12,Village,Вилидж,Город,Деревня,Улица,Дом,1
12,Profound,Профаунд,Мелкий,Быстрый,Глубокий/Мудрый,Скучный,2
12,Breakfast,Брэкфэст,Обед,Ужин,Завтрак,Еда,2
12,Hypothesis,Хайпофэсис,Факт,Гипотеза,Сказка,Закон,1
12,Between,Битвин,Сверху,Внутри,Между,Рядом,2
12,Contradict,Контрадикт,Противоречить,Соглашаться,Верить,Петь,0
12,Suddenly,Садэнли,Медленно,Внезапно,Часто,Скоро,1
12,Incentive,Инсентив,Боль,Стимул,Ошибка,План,1
12,Beautiful,Бьютифул,Красивый,Ужасный,Старый,Большой,0
12,Welfare,Вэлфэа,Война,Благосостояние,Бедность,Грусть,1
13,Sufficient,Сафишнт,Малый,Бедный,Достаточный,Лишний,2
13,Everywhere,Эвривэа,Нигде,Везде,Там,Здесь,1
13,Ambiguous,Амбигьюэс,Ясный,Двусмысленный,Громкий,Короткий,1
13,Tomorrow,Тумороу,Вчера,Сегодня,Никогда,Завтра,3
13,Reluctant,Рилактант,Смелый,Быстрый,Неохотный,Радостный,2
13,Holiday,Холидэй,Праздник,Работа,Учеба,Сон,0
13,Coherent,Коухирэнт,Связный,Странный,Быстрый,Глупый,0
13,Understand,Андерстэнд,Писать,Читать,Понимать,Слушать,2
13,Substantial,Сабстэншл,Мелкий,Существенный,Тонкий,Бедный,1
13,Difference,Дифрэнс,Сходство,Разница,Сумма,Вещь,1
13,Benevolent,Бинэвэлэнт,Злой,Быстрый,Доброжелательный,Богатый,2
13,Carefully,Кэафули,Быстро,Смело,Громко,Осторожно,3
13,Acknowledge,Акнолидж,Скрывать,Признавать,Забывать,Врать,1
13,Daughter,Дотер,Дочь,Сестра,Мать,Тетя,0
13,Prevalent,Прэвэлэнт,Редкий,Распространенный,Новый,Слабый,1
14,Sustainable,Састэйнэбл,Хрупкий,Быстрый,Устойчивый,Громкий,2
14,Important,Импортант,Важный,Скучный,Легкий,Старый,0
14,Evaluate,Ивэльюэйт,Игнорировать,Оценивать,Хвалить,Рисовать,1
14,Neighbor,Нэйбор,Друг,Враг,Сосед,Учитель,2
14,Distinction,Дистинкшн,Сходство,Отличие,Группа,Место,1
14,Everything,Эврифинг,Ничего,Кое-что,Всегда,Всё,3
14,Precise,Присайс,Грубый,Точный,Длинный,Громкий,1
14,Question,Квэсчен,Ответ,Вопрос,Мысль,Слово,1
14,Versatile,Вёрсатайл,Хрупкий,Скучный,Многогранный,Старый,2
14,Sometimes,Самтаймз,Никогда,Всегда,Иногда,Часто,2
14,Consistent,Консистент,Случайный,Последовательный,Быстрый,Тихий,1
14,Medicine,Медсин,Медицина,Болезнь,Врач,Больница,0
14,Acquire,Эквайэр,Терять,Продавать,Приобретать,Искать,2
14,Daughter,Дотер,Мать,Сестра,Дочь,Тетя,2
14,Compelling,Компелинг,Скучный,Убедительный,Слабый,Гордый,1
15,Inevitable,Иневитэбл,Неизбежный,Случайный,Приятный,Скрытый,0
15,Accurate,Экьюрэт,Сложный,Старый,Точный,Длинный,2
15,Believe,Билив,Знать,Верить,Думать,Видеть,1
15,Perspective,Перспектив,Ошибка,Сон,Точка зрения,Прошлое,2
15,Dangerous,Дэнджэрэс,Безопасный,Тихий,Опасный,Быстрый,2
15,Elaborate,Илабрэйт,Простой,Малый,Детальный,Грубый,2
15,Journey,Джёрни,Работа,Сон,Путешествие,Еда,2
15,Substantial,Сабстэншл,Тонкий,Существенный,Маленький,Гордый,1
15,Healthy,Хэлси,Здоровый,Больной,Грязный,Старый,0
15,Resilience,Резилиенс,Трусость,Стойкость,Скорость,Легкость,1
15,Mountain,Маунтэн,Река,Море,Гора,Поле,2
15,Negotiate,Нигоушиэйт,Бежать,Вести переговоры,Кричать,Спать,1
15,Beautiful,Бьютифул,Красивый,Ужасный,Старый,Большой,0
15,Paradox,Пэрэдокс,Парадокс,Истина,Ложь,Ответ,0
15,Together,Тугезэр,Отдельно,Скоро,Вместе,Вчера,2